time,sitting
0.0,0,[]
1.0000000000000002,0,[]
2.000000000000001,0,[]
2.9999999999999973,0,[]
3.999999999999994,0,[]
4.99999999999999,0,[]
5.999999999999987,0,[]
6.999999999999983,0,[]
7.99999999999998,0,[]
8.999999999999993,0,[]
10.000000000000007,0,[]
11.000000000000021,0,[]
12.000000000000036,0,[]
13.00000000000005,0,[]
14.000000000000064,0,[]
15.000000000000078,0,[]
16.000000000000092,0,[]
17.000000000000107,0,[]
18.00000000000012,0,[]
19.000000000000135,1,[179]
20.00000000000015,1,[]
21.000000000000163,1,[]
22.000000000000178,1,[]
23.000000000000192,1,[]
24.000000000000206,1,[]
25.00000000000022,2,[178]
26.000000000000234,2,[]
27.00000000000025,2,[]
28.000000000000263,2,[]
29.000000000000277,2,[]
30.00000000000029,2,[]
31.000000000000306,2,[]
32.00000000000032,2,[]
33.00000000000026,2,[]
34.000000000000206,2,[]
35.00000000000015,3,[177]
36.00000000000009,3,[]
37.000000000000036,3,[]
37.99999999999998,3,[]
38.99999999999992,3,[]
39.999999999999865,4,[176]
40.99999999999981,4,[]
41.99999999999975,4,[]
42.999999999999694,4,[]
43.99999999999964,4,[]
44.99999999999958,4,[]
45.999999999999524,4,[]
46.99999999999947,4,[]
47.99999999999941,4,[]
48.99999999999935,4,[]
49.9999999999993,4,[]
50.99999999999924,4,[]
51.99999999999918,4,[]
52.999999999999126,4,[]
53.99999999999907,4,[]
54.99999999999901,5,[175]
55.999999999998956,5,[]
56.9999999999989,5,[]
57.99999999999884,5,[]
58.999999999998785,5,[]
59.99999999999873,5,[]
60.99999999999867,5,[]
61.999999999998614,5,[]
62.99999999999856,7,[173, 174]
63.9999999999985,7,[]
64.99999999999845,7,[]
65.9999999999984,7,[]
66.99999999999834,7,[]
67.99999999999828,7,[]
68.99999999999822,7,[]
69.99999999999817,8,[172]
70.99999999999811,8,[]
71.99999999999805,8,[]
72.999999999998,8,[]
73.99999999999794,8,[]
74.99999999999788,8,[]
75.99999999999783,8,[]
76.99999999999777,8,[]
77.99999999999771,9,[171]
78.99999999999766,9,[]
79.9999999999976,9,[]
80.99999999999754,9,[]
81.99999999999748,9,[]
82.99999999999743,10,[170]
83.99999999999737,10,[]
84.99999999999731,10,[]
85.99999999999726,10,[]
86.9999999999972,10,[]
87.99999999999714,10,[]
88.99999999999709,10,[]
89.99999999999703,10,[]
90.99999999999697,10,[]
91.99999999999692,10,[]
92.99999999999686,10,[]
93.9999999999968,10,[]
94.99999999999675,10,[]
95.99999999999669,11,[169]
96.99999999999663,11,[]
97.99999999999658,11,[]
98.99999999999652,11,[]
99.99999999999646,11,[]
100.9999999999964,11,[]
101.99999999999635,11,[]
102.99999999999629,11,[]
103.99999999999623,11,[]
104.99999999999618,11,[]
105.99999999999612,11,[]
106.99999999999606,12,[167]
107.999999999996,12,[]
108.99999999999595,14,[168, 166]
109.9999999999959,14,[]
110.99999999999584,14,[]
111.99999999999578,14,[]
112.99999999999572,14,[]
113.99999999999567,14,[]
114.99999999999561,14,[]
115.99999999999555,14,[]
116.9999999999955,14,[]
117.99999999999544,14,[]
118.99999999999538,15,[165]
119.99999999999532,15,[]
120.99999999999527,15,[]
121.99999999999521,15,[]
122.99999999999515,15,[]
123.9999999999951,15,[]
124.99999999999504,15,[]
125.99999999999498,15,[]
126.99999999999493,15,[]
127.99999999999487,15,[]
128.99999999999508,16,[164]
129.9999999999953,16,[]
130.99999999999554,16,[]
131.99999999999577,16,[]
132.999999999996,16,[]
133.99999999999622,16,[]
134.99999999999645,16,[]
135.99999999999667,16,[]
136.9999999999969,16,[]
137.99999999999713,16,[]
138.99999999999736,16,[]
139.99999999999758,16,[]
140.9999999999978,16,[]
141.99999999999804,16,[]
142.99999999999827,16,[]
143.9999999999985,17,[163]
144.99999999999872,17,[]
145.99999999999895,17,[]
146.99999999999918,17,[]
147.9999999999994,17,[]
148.99999999999963,17,[]
149.99999999999986,17,[]
151.00000000000009,17,[]
152.0000000000003,17,[]
153.00000000000054,17,[]
154.00000000000077,17,[]
155.000000000001,18,[162]
156.00000000000122,19,[161]
157.00000000000145,19,[]
158.00000000000168,19,[]
159.0000000000019,19,[]
160.00000000000213,19,[]
161.00000000000236,19,[]
162.0000000000026,19,[]
163.0000000000028,20,[160]
164.00000000000304,20,[]
165.00000000000327,20,[]
166.0000000000035,20,[]
167.00000000000372,20,[]
168.00000000000395,20,[]
169.00000000000418,20,[]
170.0000000000044,21,[159]
171.00000000000463,21,[]
172.00000000000486,21,[]
173.0000000000051,21,[]
174.00000000000531,21,[]
175.00000000000554,21,[]
176.00000000000577,21,[]
177.000000000006,21,[]
178.00000000000622,21,[]
179.00000000000645,21,[]
180.00000000000668,22,[158]
181.0000000000069,22,[]
182.00000000000713,22,[]
183.00000000000736,22,[]
184.0000000000076,22,[]
185.00000000000782,22,[]
186.00000000000804,22,[]
187.00000000000827,22,[]
188.0000000000085,22,[]
189.00000000000873,22,[]
190.00000000000895,22,[]
191.00000000000918,22,[]
192.0000000000094,22,[]
193.00000000000963,23,[157]
194.00000000000986,23,[]
195.0000000000101,23,[]
196.00000000001032,23,[]
197.00000000001054,23,[]
198.00000000001077,23,[]
199.000000000011,23,[]
200.00000000001123,24,[155]
201.00000000001145,24,[]
202.00000000001168,24,[]
203.0000000000119,24,[]
204.00000000001214,24,[]
205.00000000001236,24,[]
206.0000000000126,24,[]
207.00000000001282,25,[156]
208.00000000001305,26,[154]
209.00000000001327,26,[]
210.0000000000135,26,[]
211.00000000001373,26,[]
212.00000000001396,26,[]
213.00000000001418,26,[]
214.0000000000144,26,[]
215.00000000001464,26,[]
216.00000000001486,27,[153]
217.0000000000151,27,[]
218.00000000001532,27,[]
219.00000000001555,27,[]
220.00000000001577,27,[]
221.000000000016,27,[]
222.00000000001623,27,[]
223.00000000001646,27,[]
224.00000000001668,27,[]
225.0000000000169,28,[152]
226.00000000001714,28,[]
227.00000000001737,28,[]
228.0000000000176,28,[]
229.00000000001782,28,[]
230.00000000001805,28,[]
231.00000000001828,28,[]
232.0000000000185,28,[]
233.00000000001873,28,[]
234.00000000001896,28,[]
235.00000000001918,29,[151]
236.0000000000194,29,[]
237.00000000001964,29,[]
238.00000000001987,29,[]
239.0000000000201,29,[]
240.00000000002032,29,[]
241.00000000002055,29,[]
242.00000000002078,29,[]
243.000000000021,29,[]
244.00000000002123,29,[]
245.00000000002146,29,[]
246.00000000002169,30,[150]
247.0000000000219,31,[149]
248.00000000002214,31,[]
249.00000000002237,31,[]
250.0000000000226,31,[]
251.00000000002282,31,[]
252.00000000002305,31,[]
253.00000000002328,31,[]
254.0000000000235,31,[]
255.00000000002373,31,[]
256.00000000002393,32,[148]
257.00000000002416,32,[]
258.0000000000244,32,[]
259.0000000000246,32,[]
260.00000000002484,32,[]
261.00000000002507,32,[]
262.0000000000253,32,[]
263.0000000000255,32,[]
264.00000000002575,32,[]
265.000000000026,33,[147]
266.0000000000262,33,[]
267.00000000002643,33,[]
268.00000000002666,33,[]
269.0000000000269,33,[]
270.0000000000271,33,[]
271.00000000002734,33,[]
272.00000000002757,33,[]
273.0000000000278,33,[]
274.000000000028,34,[146]
275.00000000002825,34,[]
276.0000000000285,34,[]
277.0000000000287,34,[]
278.00000000002893,34,[]
279.00000000002916,34,[]
280.0000000000294,34,[]
281.0000000000296,34,[]
282.00000000002984,34,[]
283.00000000003007,34,[]
284.0000000000303,34,[]
285.0000000000305,34,[]
286.00000000003075,34,[]
287.000000000031,34,[]
288.0000000000312,34,[]
289.00000000003143,34,[]
290.00000000003166,35,[145]
291.0000000000319,35,[]
292.0000000000321,35,[]
293.00000000003234,35,[]
294.00000000003257,35,[]
295.0000000000328,35,[]
296.000000000033,36,[143]
297.00000000003325,36,[]
298.0000000000335,36,[]
299.0000000000337,36,[]
300.00000000003394,36,[]
301.00000000003416,36,[]
302.0000000000344,37,[144]
303.0000000000346,38,[142]
304.00000000003485,38,[]
305.0000000000351,38,[]
306.0000000000353,38,[]
307.0000000000355,38,[]
308.00000000003575,39,[141]
309.000000000036,39,[]
310.0000000000362,39,[]
311.00000000003644,39,[]
312.00000000003666,39,[]
313.0000000000369,39,[]
314.0000000000371,39,[]
315.00000000003735,39,[]
316.0000000000376,40,[140]
317.0000000000378,40,[]
318.000000000038,40,[]
319.00000000003826,40,[]
320.0000000000385,40,[]
321.0000000000387,40,[]
322.00000000003894,40,[]
323.00000000003917,40,[]
324.0000000000394,40,[]
325.0000000000396,40,[]
326.00000000003985,41,[139]
327.0000000000401,41,[]
328.0000000000403,41,[]
329.00000000004053,41,[]
330.00000000004076,41,[]
331.000000000041,41,[]
332.0000000000412,41,[]
333.00000000004144,41,[]
334.00000000004167,41,[]
335.0000000000419,41,[]
336.0000000000421,41,[]
337.00000000004235,41,[]
338.0000000000426,41,[]
339.0000000000428,42,[137]
340.00000000004303,44,[138, 136]
341.00000000004326,44,[]
342.0000000000435,44,[]
343.0000000000437,44,[]
344.00000000004394,44,[]
345.00000000004417,44,[]
346.0000000000444,44,[]
347.0000000000446,44,[]
348.00000000004485,45,[135]
349.0000000000451,45,[]
350.0000000000453,45,[]
351.00000000004553,45,[]
352.00000000004576,45,[]
353.000000000046,45,[]
354.0000000000462,45,[]
355.00000000004644,45,[]
356.00000000004667,46,[134]
357.0000000000469,46,[]
358.0000000000471,46,[]
359.00000000004735,46,[]
360.0000000000476,46,[]
361.0000000000478,46,[]
362.00000000004803,46,[]
363.00000000004826,46,[]
364.0000000000485,46,[]
365.0000000000487,46,[]
366.00000000004894,46,[]
367.00000000004917,46,[]
368.0000000000494,46,[]
369.0000000000496,46,[]
370.00000000004985,47,[133]
371.0000000000501,47,[]
372.0000000000503,47,[]
373.00000000005053,47,[]
374.00000000005076,47,[]
375.000000000051,47,[]
376.0000000000512,47,[]
377.00000000005144,47,[]
378.00000000005167,47,[]
379.0000000000519,47,[]
380.0000000000521,47,[]
381.00000000005235,48,[131]
382.0000000000526,48,[]
383.0000000000528,50,[132, 130]
384.00000000005303,50,[]
385.00000000005326,50,[]
386.0000000000535,50,[]
387.0000000000537,50,[]
388.00000000005394,50,[]
389.0000000000542,50,[]
390.0000000000544,50,[]
391.0000000000546,50,[]
392.00000000005485,51,[129]
393.0000000000551,51,[]
394.0000000000553,51,[]
395.00000000005554,51,[]
396.00000000005576,51,[]
397.000000000056,51,[]
398.0000000000562,52,[128]
399.00000000005645,52,[]
400.0000000000567,52,[]
401.0000000000569,52,[]
402.0000000000571,52,[]
403.00000000005736,52,[]
404.0000000000576,52,[]
405.0000000000578,52,[]
406.00000000005804,52,[]
407.00000000005826,52,[]
408.0000000000585,52,[]
409.0000000000587,52,[]
410.00000000005895,53,[127]
411.0000000000592,53,[]
412.0000000000594,53,[]
413.00000000005963,53,[]
414.00000000005986,53,[]
415.0000000000601,53,[]
416.0000000000603,53,[]
417.00000000006054,54,[125]
418.00000000006077,54,[]
419.000000000061,54,[]
420.0000000000612,54,[]
421.00000000006145,54,[]
422.0000000000617,56,[126, 124]
423.0000000000619,56,[]
424.00000000006213,56,[]
425.00000000006236,56,[]
426.0000000000626,56,[]
427.0000000000628,56,[]
428.00000000006304,56,[]
429.00000000006327,56,[]
430.0000000000635,57,[123]
431.0000000000637,57,[]
432.00000000006395,57,[]
433.0000000000642,57,[]
434.0000000000644,57,[]
435.00000000006463,57,[]
436.00000000006486,57,[]
437.0000000000651,57,[]
438.0000000000653,57,[]
439.00000000006554,58,[122]
440.00000000006577,58,[]
441.000000000066,58,[]
442.0000000000662,58,[]
443.00000000006645,58,[]
444.0000000000667,58,[]
445.0000000000669,58,[]
446.00000000006713,59,[121]
447.00000000006736,59,[]
448.0000000000676,59,[]
449.0000000000678,59,[]
450.00000000006804,59,[]
451.00000000006827,59,[]
452.0000000000685,59,[]
453.0000000000687,59,[]
454.00000000006895,59,[]
455.0000000000692,59,[]
456.0000000000694,60,[119]
457.00000000006963,60,[]
458.00000000006986,60,[]
459.0000000000701,62,[120, 118]
460.0000000000703,62,[]
461.00000000007054,62,[]
462.00000000007077,62,[]
463.000000000071,62,[]
464.0000000000712,62,[]
465.00000000007145,62,[]
466.0000000000717,63,[117]
467.0000000000719,63,[]
468.00000000007213,63,[]
469.00000000007236,63,[]
470.0000000000726,63,[]
471.0000000000728,63,[]
472.00000000007304,63,[]
473.00000000007327,63,[]
474.0000000000735,63,[]
475.0000000000737,63,[]
476.00000000007395,63,[]
477.0000000000742,64,[116]
478.0000000000744,64,[]
479.00000000007464,64,[]
480.00000000007486,64,[]
481.0000000000751,64,[]
482.0000000000753,64,[]
483.00000000007554,64,[]
484.0000000000758,64,[]
485.000000000076,64,[]
486.0000000000762,64,[]
487.00000000007645,64,[]
488.0000000000767,64,[]
489.0000000000769,64,[]
