time,sitting
0.0,0,[]
1.0000000000000002,0,[]
2.000000000000001,0,[]
2.9999999999999973,0,[]
3.999999999999994,0,[]
4.99999999999999,0,[]
5.999999999999987,0,[]
6.999999999999983,0,[]
7.99999999999998,0,[]
8.999999999999993,0,[]
10.000000000000007,0,[]
11.000000000000021,0,[]
12.000000000000036,0,[]
13.00000000000005,0,[]
14.000000000000064,0,[]
15.000000000000078,1,[179]
16.000000000000092,1,[]
17.000000000000107,1,[]
18.00000000000012,1,[]
19.000000000000135,1,[]
20.00000000000015,1,[]
21.000000000000163,1,[]
22.000000000000178,1,[]
23.000000000000192,1,[]
24.000000000000206,1,[]
25.00000000000022,1,[]
26.000000000000234,2,[178]
27.00000000000025,2,[]
28.000000000000263,2,[]
29.000000000000277,2,[]
30.00000000000029,2,[]
31.000000000000306,2,[]
32.00000000000032,2,[]
33.00000000000026,2,[]
34.000000000000206,3,[177]
35.00000000000015,3,[]
36.00000000000009,4,[174]
37.000000000000036,4,[]
37.99999999999998,4,[]
38.99999999999992,4,[]
39.999999999999865,4,[]
40.99999999999981,4,[]
41.99999999999975,4,[]
42.999999999999694,4,[]
43.99999999999964,5,[176]
44.99999999999958,5,[]
45.999999999999524,5,[]
46.99999999999947,5,[]
47.99999999999941,6,[169]
48.99999999999935,6,[]
49.9999999999993,6,[]
50.99999999999924,6,[]
51.99999999999918,8,[175, 173]
52.999999999999126,9,[172]
53.99999999999907,11,[171, 170]
54.99999999999901,11,[]
55.999999999998956,11,[]
56.9999999999989,11,[]
57.99999999999884,11,[]
58.999999999998785,11,[]
59.99999999999873,11,[]
60.99999999999867,11,[]
61.999999999998614,13,[168, 167]
62.99999999999856,13,[]
63.9999999999985,13,[]
64.99999999999845,13,[]
65.9999999999984,13,[]
66.99999999999834,13,[]
67.99999999999828,13,[]
68.99999999999822,13,[]
69.99999999999817,14,[166]
70.99999999999811,14,[]
71.99999999999805,14,[]
72.999999999998,14,[]
73.99999999999794,14,[]
74.99999999999788,14,[]
75.99999999999783,14,[]
76.99999999999777,14,[]
77.99999999999771,14,[]
78.99999999999766,15,[165]
79.9999999999976,15,[]
80.99999999999754,15,[]
81.99999999999748,15,[]
82.99999999999743,15,[]
83.99999999999737,15,[]
84.99999999999731,15,[]
85.99999999999726,15,[]
86.9999999999972,15,[]
87.99999999999714,16,[162]
88.99999999999709,16,[]
89.99999999999703,16,[]
90.99999999999697,16,[]
91.99999999999692,17,[163]
92.99999999999686,19,[164, 161]
93.9999999999968,19,[]
94.99999999999675,19,[]
95.99999999999669,19,[]
96.99999999999663,19,[]
97.99999999999658,19,[]
98.99999999999652,19,[]
99.99999999999646,19,[]
100.9999999999964,19,[]
101.99999999999635,20,[159]
102.99999999999629,20,[]
103.99999999999623,20,[]
104.99999999999618,21,[160]
105.99999999999612,21,[]
106.99999999999606,21,[]
107.999999999996,21,[]
108.99999999999595,21,[]
109.9999999999959,21,[]
110.99999999999584,21,[]
111.99999999999578,21,[]
112.99999999999572,22,[158]
113.99999999999567,22,[]
114.99999999999561,23,[155]
115.99999999999555,23,[]
116.9999999999955,23,[]
117.99999999999544,23,[]
118.99999999999538,23,[]
119.99999999999532,23,[]
120.99999999999527,23,[]
121.99999999999521,24,[156]
122.99999999999515,26,[157, 153]
123.9999999999951,27,[154]
124.99999999999504,27,[]
125.99999999999498,27,[]
126.99999999999493,27,[]
127.99999999999487,27,[]
128.99999999999508,27,[]
129.9999999999953,27,[]
130.99999999999554,27,[]
131.99999999999577,27,[]
132.999999999996,27,[]
133.99999999999622,27,[]
134.99999999999645,28,[152]
135.99999999999667,28,[]
136.9999999999969,29,[151]
137.99999999999713,29,[]
138.99999999999736,29,[]
139.99999999999758,29,[]
140.9999999999978,29,[]
141.99999999999804,29,[]
142.99999999999827,29,[]
143.9999999999985,29,[]
144.99999999999872,29,[]
145.99999999999895,29,[]
146.99999999999918,29,[]
147.9999999999994,29,[]
148.99999999999963,30,[149]
149.99999999999986,30,[]
151.00000000000009,32,[150, 148]
152.0000000000003,32,[]
153.00000000000054,32,[]
154.00000000000077,32,[]
155.000000000001,32,[]
156.00000000000122,32,[]
157.00000000000145,32,[]
158.00000000000168,32,[]
159.0000000000019,32,[]
160.00000000000213,34,[147, 146]
161.00000000000236,34,[]
162.0000000000026,34,[]
163.0000000000028,34,[]
164.00000000000304,34,[]
165.00000000000327,34,[]
166.0000000000035,34,[]
167.00000000000372,34,[]
168.00000000000395,34,[]
169.00000000000418,34,[]
170.0000000000044,34,[]
171.00000000000463,35,[145]
172.00000000000486,35,[]
173.0000000000051,35,[]
174.00000000000531,35,[]
175.00000000000554,35,[]
176.00000000000577,35,[]
177.000000000006,35,[]
178.00000000000622,35,[]
179.00000000000645,35,[]
180.00000000000668,35,[]
181.0000000000069,35,[]
182.00000000000713,37,[137, 144]
183.00000000000736,37,[]
184.0000000000076,38,[143]
185.00000000000782,38,[]
186.00000000000804,38,[]
187.00000000000827,38,[]
188.0000000000085,38,[]
189.00000000000873,38,[]
190.00000000000895,38,[]
191.00000000000918,38,[]
192.0000000000094,39,[142]
193.00000000000963,39,[]
194.00000000000986,39,[]
195.0000000000101,40,[134]
196.00000000001032,40,[]
197.00000000001054,40,[]
198.00000000001077,40,[]
199.000000000011,40,[]
200.00000000001123,40,[]
201.00000000001145,41,[136]
202.00000000001168,43,[133, 131]
203.0000000000119,43,[]
204.00000000001214,43,[]
205.00000000001236,45,[135, 139]
206.0000000000126,46,[132]
207.00000000001282,47,[140]
208.00000000001305,47,[]
209.00000000001327,47,[]
210.0000000000135,48,[141]
211.00000000001373,48,[]
212.00000000001396,48,[]
213.00000000001418,49,[129]
214.0000000000144,50,[128]
215.00000000001464,51,[130]
216.00000000001486,51,[]
217.0000000000151,51,[]
218.00000000001532,51,[]
219.00000000001555,52,[127]
220.00000000001577,52,[]
221.000000000016,53,[124]
222.00000000001623,54,[138]
223.00000000001646,54,[]
224.00000000001668,54,[]
225.0000000000169,54,[]
226.00000000001714,55,[125]
227.00000000001737,56,[123]
228.0000000000176,57,[126]
229.00000000001782,57,[]
230.00000000001805,57,[]
231.00000000001828,57,[]
232.0000000000185,57,[]
233.00000000001873,57,[]
234.00000000001896,57,[]
235.00000000001918,57,[]
236.0000000000194,58,[120]
237.00000000001964,59,[122]
238.00000000001987,59,[]
239.0000000000201,59,[]
240.00000000002032,59,[]
241.00000000002055,59,[]
242.00000000002078,59,[]
243.000000000021,59,[]
244.00000000002123,59,[]
245.00000000002146,59,[]
246.00000000002169,59,[]
247.0000000000219,59,[]
248.00000000002214,59,[]
249.00000000002237,60,[121]
250.0000000000226,60,[]
251.00000000002282,60,[]
252.00000000002305,60,[]
253.00000000002328,61,[119]
254.0000000000235,61,[]
255.00000000002373,61,[]
256.00000000002393,61,[]
257.00000000002416,61,[]
258.0000000000244,61,[]
259.0000000000246,61,[]
260.00000000002484,61,[]
261.00000000002507,61,[]
262.0000000000253,61,[]
263.0000000000255,62,[118]
264.00000000002575,64,[116, 114]
265.000000000026,65,[115]
266.0000000000262,65,[]
267.00000000002643,65,[]
268.00000000002666,65,[]
269.0000000000269,65,[]
270.0000000000271,65,[]
271.00000000002734,65,[]
272.00000000002757,66,[111]
273.0000000000278,66,[]
274.000000000028,67,[113]
275.00000000002825,69,[112, 117]
276.0000000000285,69,[]
277.0000000000287,69,[]
278.00000000002893,69,[]
279.00000000002916,69,[]
280.0000000000294,69,[]
281.0000000000296,69,[]
282.00000000002984,70,[109]
283.00000000003007,70,[]
284.0000000000303,70,[]
285.0000000000305,70,[]
286.00000000003075,70,[]
287.000000000031,70,[]
288.0000000000312,71,[110]
289.00000000003143,71,[]
290.00000000003166,73,[106, 105]
291.0000000000319,73,[]
292.0000000000321,73,[]
293.00000000003234,73,[]
294.00000000003257,73,[]
295.0000000000328,74,[108]
296.000000000033,74,[]
297.00000000003325,74,[]
298.0000000000335,74,[]
299.0000000000337,75,[107]
300.00000000003394,75,[]
301.00000000003416,75,[]
302.0000000000344,75,[]
303.0000000000346,77,[95, 94]
304.00000000003485,77,[]
305.0000000000351,77,[]
306.0000000000353,77,[]
307.0000000000355,77,[]
308.00000000003575,77,[]
309.000000000036,77,[]
310.0000000000362,77,[]
311.00000000003644,77,[]
312.00000000003666,77,[]
313.0000000000369,78,[93]
314.0000000000371,78,[]
315.00000000003735,78,[]
316.0000000000376,78,[]
317.0000000000378,79,[104]
318.000000000038,79,[]
319.00000000003826,79,[]
320.0000000000385,79,[]
321.0000000000387,79,[]
322.00000000003894,79,[]
323.00000000003917,80,[91]
324.0000000000394,81,[90]
325.0000000000396,82,[103]
326.00000000003985,82,[]
327.0000000000401,82,[]
328.0000000000403,82,[]
329.00000000004053,82,[]
330.00000000004076,82,[]
331.000000000041,83,[99]
332.0000000000412,83,[]
333.00000000004144,83,[]
334.00000000004167,83,[]
335.0000000000419,84,[89]
336.0000000000421,85,[102]
337.00000000004235,86,[100]
338.0000000000426,86,[]
339.0000000000428,86,[]
340.00000000004303,86,[]
341.00000000004326,86,[]
342.0000000000435,86,[]
343.0000000000437,88,[97, 101]
344.00000000004394,89,[92]
345.00000000004417,90,[88]
346.0000000000444,90,[]
347.0000000000446,90,[]
348.00000000004485,90,[]
349.0000000000451,90,[]
350.0000000000453,90,[]
351.00000000004553,91,[87]
352.00000000004576,93,[98, 86]
353.000000000046,93,[]
354.0000000000462,95,[85, 96]
355.00000000004644,95,[]
356.00000000004667,95,[]
357.0000000000469,95,[]
358.0000000000471,95,[]
359.00000000004735,95,[]
360.0000000000476,95,[]
361.0000000000478,96,[83]
362.00000000004803,96,[]
363.00000000004826,96,[]
364.0000000000485,96,[]
365.0000000000487,97,[84]
366.00000000004894,97,[]
367.00000000004917,97,[]
368.0000000000494,97,[]
369.0000000000496,97,[]
370.00000000004985,97,[]
371.0000000000501,97,[]
372.0000000000503,97,[]
373.00000000005053,98,[82]
374.00000000005076,98,[]
375.000000000051,99,[80]
376.0000000000512,99,[]
377.00000000005144,99,[]
378.00000000005167,99,[]
379.0000000000519,99,[]
380.0000000000521,99,[]
381.00000000005235,99,[]
382.0000000000526,100,[81]
383.0000000000528,100,[]
384.00000000005303,100,[]
385.00000000005326,100,[]
386.0000000000535,100,[]
387.0000000000537,100,[]
388.00000000005394,100,[]
389.0000000000542,100,[]
390.0000000000544,100,[]
391.0000000000546,101,[79]
392.00000000005485,101,[]
393.0000000000551,101,[]
394.0000000000553,101,[]
395.00000000005554,101,[]
396.00000000005576,101,[]
397.000000000056,101,[]
398.0000000000562,101,[]
399.00000000005645,101,[]
400.0000000000567,101,[]
401.0000000000569,102,[77]
402.0000000000571,102,[]
403.00000000005736,103,[78]
404.0000000000576,103,[]
405.0000000000578,104,[73]
406.00000000005804,104,[]
407.00000000005826,104,[]
408.0000000000585,104,[]
409.0000000000587,104,[]
410.00000000005895,104,[]
411.0000000000592,104,[]
412.0000000000594,104,[]
413.00000000005963,105,[76]
414.00000000005986,107,[74, 72]
415.0000000000601,108,[71]
416.0000000000603,108,[]
417.00000000006054,108,[]
418.00000000006077,108,[]
419.000000000061,108,[]
420.0000000000612,108,[]
421.00000000006145,108,[]
422.0000000000617,108,[]
423.0000000000619,109,[70]
424.00000000006213,109,[]
425.00000000006236,110,[75]
426.0000000000626,110,[]
427.0000000000628,110,[]
428.00000000006304,110,[]
429.00000000006327,110,[]
430.0000000000635,110,[]
431.0000000000637,110,[]
432.00000000006395,110,[]
433.0000000000642,110,[]
434.0000000000644,110,[]
435.00000000006463,110,[]
436.00000000006486,111,[69]
437.0000000000651,111,[]
438.0000000000653,111,[]
439.00000000006554,111,[]
440.00000000006577,111,[]
441.000000000066,111,[]
442.0000000000662,111,[]
443.00000000006645,111,[]
444.0000000000667,111,[]
445.0000000000669,111,[]
446.00000000006713,111,[]
447.00000000006736,111,[]
448.0000000000676,112,[66]
449.0000000000678,112,[]
450.00000000006804,112,[]
451.00000000006827,113,[65]
452.0000000000685,114,[68]
453.0000000000687,114,[]
454.00000000006895,114,[]
455.0000000000692,114,[]
456.0000000000694,114,[]
457.00000000006963,114,[]
458.00000000006986,114,[]
459.0000000000701,114,[]
460.0000000000703,115,[67]
461.00000000007054,116,[64]
462.00000000007077,117,[62]
463.000000000071,118,[60]
464.0000000000712,118,[]
465.00000000007145,118,[]
466.0000000000717,118,[]
467.0000000000719,118,[]
468.00000000007213,118,[]
469.00000000007236,119,[63]
470.0000000000726,120,[59]
471.0000000000728,120,[]
472.00000000007304,120,[]
473.00000000007327,120,[]
474.0000000000735,120,[]
475.0000000000737,120,[]
476.00000000007395,120,[]
477.0000000000742,120,[]
478.0000000000744,120,[]
479.00000000007464,121,[61]
480.00000000007486,121,[]
481.0000000000751,121,[]
482.0000000000753,122,[58]
483.00000000007554,123,[55]
