time,sitting
0.0,0,[]
1.0000000000000002,0,[]
2.000000000000001,0,[]
2.9999999999999973,0,[]
3.999999999999994,0,[]
4.99999999999999,0,[]
5.999999999999987,0,[]
6.999999999999983,0,[]
7.99999999999998,0,[]
8.999999999999993,0,[]
10.000000000000007,1,[179]
11.000000000000021,1,[]
12.000000000000036,1,[]
13.00000000000005,1,[]
14.000000000000064,1,[]
15.000000000000078,1,[]
16.000000000000092,1,[]
17.000000000000107,1,[]
18.00000000000012,2,[178]
19.000000000000135,2,[]
20.00000000000015,3,[177]
21.000000000000163,3,[]
22.000000000000178,3,[]
23.000000000000192,3,[]
24.000000000000206,3,[]
25.00000000000022,3,[]
26.000000000000234,3,[]
27.00000000000025,3,[]
28.000000000000263,3,[]
29.000000000000277,5,[176, 175]
30.00000000000029,5,[]
31.000000000000306,5,[]
32.00000000000032,5,[]
33.00000000000026,5,[]
34.000000000000206,5,[]
35.00000000000015,5,[]
36.00000000000009,7,[174, 173]
37.000000000000036,7,[]
37.99999999999998,7,[]
38.99999999999992,8,[172]
39.999999999999865,8,[]
40.99999999999981,8,[]
41.99999999999975,8,[]
42.999999999999694,8,[]
43.99999999999964,8,[]
44.99999999999958,8,[]
45.999999999999524,8,[]
46.99999999999947,8,[]
47.99999999999941,8,[]
48.99999999999935,8,[]
49.9999999999993,9,[171]
50.99999999999924,9,[]
51.99999999999918,9,[]
52.999999999999126,9,[]
53.99999999999907,9,[]
54.99999999999901,9,[]
55.999999999998956,9,[]
56.9999999999989,9,[]
57.99999999999884,11,[170, 169]
58.999999999998785,11,[]
59.99999999999873,11,[]
60.99999999999867,11,[]
61.999999999998614,11,[]
62.99999999999856,11,[]
63.9999999999985,11,[]
64.99999999999845,11,[]
65.9999999999984,11,[]
66.99999999999834,11,[]
67.99999999999828,11,[]
68.99999999999822,13,[167, 168]
69.99999999999817,13,[]
70.99999999999811,13,[]
71.99999999999805,13,[]
72.999999999998,13,[]
73.99999999999794,13,[]
74.99999999999788,13,[]
75.99999999999783,13,[]
76.99999999999777,13,[]
77.99999999999771,13,[]
78.99999999999766,15,[166, 165]
79.9999999999976,15,[]
80.99999999999754,15,[]
81.99999999999748,15,[]
82.99999999999743,15,[]
83.99999999999737,15,[]
84.99999999999731,15,[]
85.99999999999726,15,[]
86.9999999999972,15,[]
87.99999999999714,15,[]
88.99999999999709,16,[164]
89.99999999999703,16,[]
90.99999999999697,16,[]
91.99999999999692,16,[]
92.99999999999686,16,[]
93.9999999999968,16,[]
94.99999999999675,16,[]
95.99999999999669,16,[]
96.99999999999663,16,[]
97.99999999999658,16,[]
98.99999999999652,16,[]
99.99999999999646,16,[]
100.9999999999964,16,[]
101.99999999999635,17,[163]
102.99999999999629,17,[]
103.99999999999623,17,[]
104.99999999999618,17,[]
105.99999999999612,17,[]
106.99999999999606,17,[]
107.999999999996,18,[162]
108.99999999999595,18,[]
109.9999999999959,19,[158]
110.99999999999584,20,[157]
111.99999999999578,20,[]
112.99999999999572,20,[]
113.99999999999567,20,[]
114.99999999999561,20,[]
115.99999999999555,20,[]
116.9999999999955,21,[161]
117.99999999999544,21,[]
118.99999999999538,21,[]
119.99999999999532,21,[]
120.99999999999527,22,[156]
121.99999999999521,23,[160]
122.99999999999515,23,[]
123.9999999999951,24,[154]
124.99999999999504,24,[]
125.99999999999498,24,[]
126.99999999999493,24,[]
127.99999999999487,24,[]
128.99999999999508,24,[]
129.9999999999953,25,[155]
130.99999999999554,25,[]
131.99999999999577,25,[]
132.999999999996,25,[]
133.99999999999622,26,[159]
134.99999999999645,26,[]
135.99999999999667,26,[]
136.9999999999969,27,[152]
137.99999999999713,27,[]
138.99999999999736,27,[]
139.99999999999758,27,[]
140.9999999999978,27,[]
141.99999999999804,27,[]
142.99999999999827,28,[153]
143.9999999999985,28,[]
144.99999999999872,28,[]
145.99999999999895,28,[]
146.99999999999918,28,[]
147.9999999999994,28,[]
148.99999999999963,29,[151]
149.99999999999986,29,[]
151.00000000000009,29,[]
152.0000000000003,29,[]
153.00000000000054,29,[]
154.00000000000077,29,[]
155.000000000001,29,[]
156.00000000000122,29,[]
157.00000000000145,29,[]
158.00000000000168,30,[150]
159.0000000000019,30,[]
160.00000000000213,30,[]
161.00000000000236,30,[]
162.0000000000026,31,[149]
163.0000000000028,31,[]
164.00000000000304,31,[]
165.00000000000327,31,[]
166.0000000000035,31,[]
167.00000000000372,31,[]
168.00000000000395,31,[]
169.00000000000418,31,[]
170.0000000000044,31,[]
171.00000000000463,31,[]
172.00000000000486,31,[]
173.0000000000051,31,[]
174.00000000000531,31,[]
175.00000000000554,32,[148]
176.00000000000577,33,[144]
177.000000000006,33,[]
178.00000000000622,33,[]
179.00000000000645,33,[]
180.00000000000668,33,[]
181.0000000000069,33,[]
182.00000000000713,33,[]
183.00000000000736,33,[]
184.0000000000076,33,[]
185.00000000000782,34,[147]
186.00000000000804,35,[145]
187.00000000000827,35,[]
188.0000000000085,35,[]
189.00000000000873,35,[]
190.00000000000895,35,[]
191.00000000000918,35,[]
192.0000000000094,35,[]
193.00000000000963,35,[]
194.00000000000986,35,[]
195.0000000000101,35,[]
196.00000000001032,35,[]
197.00000000001054,36,[139]
198.00000000001077,37,[143]
199.000000000011,38,[141]
200.00000000001123,39,[146]
201.00000000001145,40,[137]
202.00000000001168,40,[]
203.0000000000119,40,[]
204.00000000001214,40,[]
205.00000000001236,40,[]
206.0000000000126,40,[]
207.00000000001282,40,[]
208.00000000001305,40,[]
209.00000000001327,40,[]
210.0000000000135,42,[142, 140]
211.00000000001373,42,[]
212.00000000001396,42,[]
213.00000000001418,42,[]
214.0000000000144,42,[]
215.00000000001464,43,[138]
216.00000000001486,43,[]
217.0000000000151,43,[]
218.00000000001532,43,[]
219.00000000001555,43,[]
220.00000000001577,43,[]
221.000000000016,43,[]
222.00000000001623,43,[]
223.00000000001646,43,[]
224.00000000001668,43,[]
225.0000000000169,43,[]
226.00000000001714,43,[]
227.00000000001737,43,[]
228.0000000000176,44,[135]
229.00000000001782,44,[]
230.00000000001805,44,[]
231.00000000001828,44,[]
232.0000000000185,45,[136]
233.00000000001873,45,[]
234.00000000001896,45,[]
235.00000000001918,45,[]
236.0000000000194,45,[]
237.00000000001964,45,[]
238.00000000001987,45,[]
239.0000000000201,45,[]
240.00000000002032,45,[]
241.00000000002055,45,[]
242.00000000002078,45,[]
243.000000000021,46,[134]
244.00000000002123,47,[132]
245.00000000002146,47,[]
246.00000000002169,47,[]
247.0000000000219,47,[]
248.00000000002214,47,[]
249.00000000002237,47,[]
250.0000000000226,47,[]
251.00000000002282,47,[]
252.00000000002305,47,[]
253.00000000002328,47,[]
254.0000000000235,47,[]
255.00000000002373,47,[]
256.00000000002393,48,[133]
257.00000000002416,48,[]
258.0000000000244,48,[]
259.0000000000246,48,[]
260.00000000002484,48,[]
261.00000000002507,48,[]
262.0000000000253,48,[]
263.0000000000255,48,[]
264.00000000002575,49,[131]
265.000000000026,51,[130, 129]
266.0000000000262,51,[]
267.00000000002643,51,[]
268.00000000002666,51,[]
269.0000000000269,51,[]
270.0000000000271,52,[128]
271.00000000002734,52,[]
272.00000000002757,52,[]
273.0000000000278,52,[]
274.000000000028,52,[]
275.00000000002825,52,[]
276.0000000000285,52,[]
277.0000000000287,52,[]
278.00000000002893,52,[]
279.00000000002916,52,[]
280.0000000000294,52,[]
281.0000000000296,52,[]
282.00000000002984,53,[127]
283.00000000003007,53,[]
284.0000000000303,53,[]
285.0000000000305,53,[]
286.00000000003075,53,[]
287.000000000031,53,[]
288.0000000000312,53,[]
289.00000000003143,53,[]
290.00000000003166,53,[]
291.0000000000319,54,[126]
292.0000000000321,54,[]
293.00000000003234,54,[]
294.00000000003257,54,[]
295.0000000000328,54,[]
296.000000000033,54,[]
297.00000000003325,54,[]
298.0000000000335,54,[]
299.0000000000337,54,[]
300.00000000003394,54,[]
301.00000000003416,55,[125]
302.0000000000344,55,[]
303.0000000000346,55,[]
304.00000000003485,55,[]
305.0000000000351,56,[122]
306.0000000000353,56,[]
307.0000000000355,56,[]
308.00000000003575,56,[]
309.000000000036,58,[123, 121]
310.0000000000362,58,[]
311.00000000003644,58,[]
312.00000000003666,58,[]
313.0000000000369,59,[124]
314.0000000000371,60,[119]
315.00000000003735,60,[]
316.0000000000376,60,[]
317.0000000000378,60,[]
318.000000000038,60,[]
319.00000000003826,60,[]
320.0000000000385,60,[]
321.0000000000387,60,[]
322.00000000003894,60,[]
323.00000000003917,61,[117]
324.0000000000394,63,[115, 118]
325.0000000000396,63,[]
326.00000000003985,64,[120]
327.0000000000401,64,[]
328.0000000000403,64,[]
329.00000000004053,64,[]
330.00000000004076,64,[]
331.000000000041,64,[]
332.0000000000412,66,[116, 114]
333.00000000004144,66,[]
334.00000000004167,66,[]
335.0000000000419,66,[]
336.0000000000421,66,[]
337.00000000004235,66,[]
338.0000000000426,66,[]
339.0000000000428,66,[]
340.00000000004303,67,[113]
341.00000000004326,67,[]
342.0000000000435,67,[]
343.0000000000437,67,[]
344.00000000004394,67,[]
345.00000000004417,67,[]
346.0000000000444,67,[]
347.0000000000446,67,[]
348.00000000004485,67,[]
349.0000000000451,67,[]
350.0000000000453,67,[]
351.00000000004553,67,[]
352.00000000004576,67,[]
353.000000000046,68,[112]
354.0000000000462,68,[]
355.00000000004644,68,[]
356.00000000004667,68,[]
357.0000000000469,68,[]
358.0000000000471,68,[]
359.00000000004735,68,[]
360.0000000000476,68,[]
361.0000000000478,68,[]
362.00000000004803,68,[]
363.00000000004826,68,[]
364.0000000000485,69,[110]
365.0000000000487,70,[107]
366.00000000004894,70,[]
367.00000000004917,70,[]
368.0000000000494,72,[109, 111]
369.0000000000496,72,[]
370.00000000004985,72,[]
371.0000000000501,72,[]
372.0000000000503,72,[]
373.00000000005053,72,[]
374.00000000005076,72,[]
375.000000000051,72,[]
376.0000000000512,72,[]
377.00000000005144,73,[106]
378.00000000005167,73,[]
379.0000000000519,73,[]
380.0000000000521,73,[]
381.00000000005235,73,[]
382.0000000000526,74,[108]
383.0000000000528,75,[104]
384.00000000005303,75,[]
385.00000000005326,75,[]
386.0000000000535,75,[]
387.0000000000537,75,[]
388.00000000005394,76,[105]
389.0000000000542,76,[]
390.0000000000544,76,[]
391.0000000000546,76,[]
392.00000000005485,76,[]
393.0000000000551,76,[]
394.0000000000553,76,[]
395.00000000005554,76,[]
396.00000000005576,77,[103]
397.000000000056,77,[]
398.0000000000562,77,[]
399.00000000005645,77,[]
400.0000000000567,77,[]
401.0000000000569,77,[]
402.0000000000571,77,[]
403.00000000005736,77,[]
404.0000000000576,77,[]
405.0000000000578,77,[]
406.00000000005804,77,[]
407.00000000005826,78,[102]
408.0000000000585,78,[]
409.0000000000587,78,[]
410.00000000005895,78,[]
411.0000000000592,79,[98]
412.0000000000594,80,[101]
413.00000000005963,81,[99]
414.00000000005986,82,[96]
415.0000000000601,82,[]
416.0000000000603,82,[]
417.00000000006054,82,[]
418.00000000006077,82,[]
419.000000000061,82,[]
420.0000000000612,82,[]
421.00000000006145,84,[100, 97]
422.0000000000617,84,[]
423.0000000000619,84,[]
424.00000000006213,84,[]
425.00000000006236,84,[]
426.0000000000626,86,[94, 93]
427.0000000000628,86,[]
428.00000000006304,87,[95]
429.00000000006327,87,[]
430.0000000000635,87,[]
431.0000000000637,87,[]
432.00000000006395,87,[]
433.0000000000642,87,[]
434.0000000000644,87,[]
435.00000000006463,87,[]
436.00000000006486,87,[]
437.0000000000651,87,[]
438.0000000000653,87,[]
439.00000000006554,88,[90]
440.00000000006577,89,[92]
441.000000000066,89,[]
442.0000000000662,89,[]
443.00000000006645,89,[]
444.0000000000667,89,[]
445.0000000000669,89,[]
446.00000000006713,89,[]
447.00000000006736,89,[]
448.0000000000676,89,[]
449.0000000000678,90,[88]
450.00000000006804,91,[86]
451.00000000006827,91,[]
452.0000000000685,91,[]
453.0000000000687,91,[]
454.00000000006895,91,[]
455.0000000000692,93,[89, 87]
456.0000000000694,94,[91]
457.00000000006963,94,[]
458.00000000006986,94,[]
459.0000000000701,94,[]
460.0000000000703,94,[]
461.00000000007054,94,[]
462.00000000007077,94,[]
463.000000000071,94,[]
464.0000000000712,94,[]
465.00000000007145,94,[]
466.0000000000717,95,[85]
467.0000000000719,95,[]
468.00000000007213,95,[]
469.00000000007236,95,[]
470.0000000000726,95,[]
471.0000000000728,95,[]
472.00000000007304,95,[]
473.00000000007327,95,[]
474.0000000000735,95,[]
475.0000000000737,95,[]
476.00000000007395,95,[]
477.0000000000742,95,[]
478.0000000000744,95,[]
479.00000000007464,95,[]
480.00000000007486,95,[]
481.0000000000751,96,[84]
482.0000000000753,96,[]
483.00000000007554,96,[]
484.0000000000758,96,[]
485.000000000076,96,[]
