time,sitting
0.0,0,[]
1.0000000000000002,0,[]
2.000000000000001,0,[]
2.9999999999999973,0,[]
3.999999999999994,0,[]
4.99999999999999,0,[]
5.999999999999987,0,[]
6.999999999999983,0,[]
7.99999999999998,0,[]
8.999999999999993,0,[]
10.000000000000007,2,[177, 175]
11.000000000000021,2,[]
12.000000000000036,2,[]
13.00000000000005,3,[179]
14.000000000000064,3,[]
15.000000000000078,3,[]
16.000000000000092,3,[]
17.000000000000107,4,[176]
18.00000000000012,4,[]
19.000000000000135,4,[]
20.00000000000015,4,[]
21.000000000000163,4,[]
22.000000000000178,5,[171]
23.000000000000192,6,[169]
24.000000000000206,7,[174]
25.00000000000022,8,[166]
26.000000000000234,8,[]
27.00000000000025,8,[]
28.000000000000263,9,[178]
29.000000000000277,9,[]
30.00000000000029,9,[]
31.000000000000306,9,[]
32.00000000000032,9,[]
33.00000000000026,9,[]
34.000000000000206,10,[173]
35.00000000000015,10,[]
36.00000000000009,10,[]
37.000000000000036,10,[]
37.99999999999998,10,[]
38.99999999999992,10,[]
39.999999999999865,10,[]
40.99999999999981,10,[]
41.99999999999975,10,[]
42.999999999999694,10,[]
43.99999999999964,10,[]
44.99999999999958,10,[]
45.999999999999524,10,[]
46.99999999999947,12,[172, 161]
47.99999999999941,12,[]
48.99999999999935,12,[]
49.9999999999993,13,[170]
50.99999999999924,13,[]
51.99999999999918,13,[]
52.999999999999126,13,[]
53.99999999999907,13,[]
54.99999999999901,13,[]
55.999999999998956,13,[]
56.9999999999989,13,[]
57.99999999999884,13,[]
58.999999999998785,14,[163]
59.99999999999873,16,[165, 160]
60.99999999999867,16,[]
61.999999999998614,16,[]
62.99999999999856,17,[168]
63.9999999999985,19,[167, 164]
64.99999999999845,19,[]
65.9999999999984,19,[]
66.99999999999834,19,[]
67.99999999999828,19,[]
68.99999999999822,20,[162]
69.99999999999817,20,[]
70.99999999999811,20,[]
71.99999999999805,21,[156]
72.999999999998,21,[]
73.99999999999794,21,[]
74.99999999999788,21,[]
75.99999999999783,21,[]
76.99999999999777,21,[]
77.99999999999771,22,[159]
78.99999999999766,23,[157]
79.9999999999976,23,[]
80.99999999999754,23,[]
81.99999999999748,24,[155]
82.99999999999743,24,[]
83.99999999999737,24,[]
84.99999999999731,24,[]
85.99999999999726,25,[158]
86.9999999999972,25,[]
87.99999999999714,25,[]
88.99999999999709,25,[]
89.99999999999703,26,[154]
90.99999999999697,26,[]
91.99999999999692,27,[152]
92.99999999999686,27,[]
93.9999999999968,27,[]
94.99999999999675,28,[150]
95.99999999999669,28,[]
96.99999999999663,28,[]
97.99999999999658,28,[]
98.99999999999652,28,[]
99.99999999999646,28,[]
100.9999999999964,29,[153]
101.99999999999635,29,[]
102.99999999999629,29,[]
103.99999999999623,29,[]
104.99999999999618,29,[]
105.99999999999612,30,[148]
106.99999999999606,30,[]
107.999999999996,31,[151]
108.99999999999595,31,[]
109.9999999999959,31,[]
110.99999999999584,31,[]
111.99999999999578,31,[]
112.99999999999572,31,[]
113.99999999999567,31,[]
114.99999999999561,33,[149, 139]
115.99999999999555,33,[]
116.9999999999955,34,[147]
117.99999999999544,35,[144]
118.99999999999538,35,[]
119.99999999999532,35,[]
120.99999999999527,35,[]
121.99999999999521,35,[]
122.99999999999515,35,[]
123.9999999999951,35,[]
124.99999999999504,35,[]
125.99999999999498,36,[145]
126.99999999999493,36,[]
127.99999999999487,36,[]
128.99999999999508,36,[]
129.9999999999953,37,[141]
130.99999999999554,39,[146, 135]
131.99999999999577,39,[]
132.999999999996,39,[]
133.99999999999622,39,[]
134.99999999999645,39,[]
135.99999999999667,39,[]
136.9999999999969,39,[]
137.99999999999713,40,[140]
138.99999999999736,42,[143, 142]
139.99999999999758,42,[]
140.9999999999978,42,[]
141.99999999999804,42,[]
142.99999999999827,42,[]
143.9999999999985,43,[138]
144.99999999999872,43,[]
145.99999999999895,43,[]
146.99999999999918,43,[]
147.9999999999994,43,[]
148.99999999999963,43,[]
149.99999999999986,43,[]
151.00000000000009,43,[]
152.0000000000003,45,[137, 136]
153.00000000000054,45,[]
154.00000000000077,45,[]
155.000000000001,45,[]
156.00000000000122,45,[]
157.00000000000145,45,[]
158.00000000000168,45,[]
159.0000000000019,46,[133]
160.00000000000213,46,[]
161.00000000000236,46,[]
162.0000000000026,46,[]
163.0000000000028,46,[]
164.00000000000304,46,[]
165.00000000000327,47,[134]
166.0000000000035,47,[]
167.00000000000372,47,[]
168.00000000000395,47,[]
169.00000000000418,47,[]
170.0000000000044,48,[130]
171.00000000000463,49,[129]
172.00000000000486,50,[131]
173.0000000000051,51,[128]
174.00000000000531,52,[132]
175.00000000000554,52,[]
176.00000000000577,52,[]
177.000000000006,52,[]
178.00000000000622,52,[]
179.00000000000645,52,[]
180.00000000000668,52,[]
181.0000000000069,52,[]
182.00000000000713,52,[]
183.00000000000736,52,[]
184.0000000000076,52,[]
185.00000000000782,54,[124, 122]
186.00000000000804,54,[]
187.00000000000827,55,[116]
188.0000000000085,55,[]
189.00000000000873,56,[127]
190.00000000000895,57,[121]
191.00000000000918,57,[]
192.0000000000094,57,[]
193.00000000000963,57,[]
194.00000000000986,57,[]
195.0000000000101,57,[]
196.00000000001032,57,[]
197.00000000001054,57,[]
198.00000000001077,57,[]
199.000000000011,58,[125]
200.00000000001123,58,[]
201.00000000001145,58,[]
202.00000000001168,59,[118]
203.0000000000119,59,[]
204.00000000001214,62,[126, 120, 119]
205.00000000001236,63,[117]
206.0000000000126,63,[]
207.00000000001282,63,[]
208.00000000001305,63,[]
209.00000000001327,63,[]
210.0000000000135,64,[123]
211.00000000001373,64,[]
212.00000000001396,64,[]
213.00000000001418,64,[]
214.0000000000144,64,[]
215.00000000001464,64,[]
216.00000000001486,64,[]
217.0000000000151,64,[]
218.00000000001532,65,[115]
219.00000000001555,65,[]
220.00000000001577,65,[]
221.000000000016,65,[]
222.00000000001623,65,[]
223.00000000001646,65,[]
224.00000000001668,65,[]
225.0000000000169,65,[]
226.00000000001714,65,[]
227.00000000001737,65,[]
228.0000000000176,66,[113]
229.00000000001782,66,[]
230.00000000001805,68,[107, 114]
231.00000000001828,69,[112]
232.0000000000185,69,[]
233.00000000001873,69,[]
234.00000000001896,70,[110]
235.00000000001918,70,[]
236.0000000000194,70,[]
237.00000000001964,70,[]
238.00000000001987,70,[]
239.0000000000201,70,[]
240.00000000002032,70,[]
241.00000000002055,70,[]
242.00000000002078,70,[]
243.000000000021,70,[]
244.00000000002123,72,[105, 111]
245.00000000002146,72,[]
246.00000000002169,72,[]
247.0000000000219,72,[]
248.00000000002214,72,[]
249.00000000002237,73,[109]
250.0000000000226,73,[]
251.00000000002282,73,[]
252.00000000002305,73,[]
253.00000000002328,73,[]
254.0000000000235,74,[99]
255.00000000002373,74,[]
256.00000000002393,74,[]
257.00000000002416,74,[]
258.0000000000244,74,[]
259.0000000000246,74,[]
260.00000000002484,74,[]
261.00000000002507,74,[]
262.0000000000253,75,[106]
263.0000000000255,76,[108]
264.00000000002575,76,[]
265.000000000026,77,[95]
266.0000000000262,77,[]
267.00000000002643,77,[]
268.00000000002666,77,[]
269.0000000000269,78,[104]
270.0000000000271,78,[]
271.00000000002734,78,[]
272.00000000002757,79,[103]
273.0000000000278,79,[]
274.000000000028,79,[]
275.00000000002825,80,[91]
276.0000000000285,80,[]
277.0000000000287,80,[]
278.00000000002893,80,[]
279.00000000002916,81,[101]
280.0000000000294,83,[98, 102]
281.0000000000296,83,[]
282.00000000002984,83,[]
283.00000000003007,83,[]
284.0000000000303,83,[]
285.0000000000305,83,[]
286.00000000003075,84,[87]
287.000000000031,84,[]
288.0000000000312,84,[]
289.00000000003143,84,[]
290.00000000003166,84,[]
291.0000000000319,85,[100]
292.0000000000321,85,[]
293.00000000003234,86,[94]
294.00000000003257,87,[86]
295.0000000000328,87,[]
296.000000000033,88,[85]
297.00000000003325,88,[]
298.0000000000335,89,[81]
299.0000000000337,90,[97]
300.00000000003394,90,[]
301.00000000003416,90,[]
302.0000000000344,90,[]
303.0000000000346,90,[]
304.00000000003485,90,[]
305.0000000000351,91,[93]
306.0000000000353,91,[]
307.0000000000355,91,[]
308.00000000003575,91,[]
309.000000000036,92,[96]
310.0000000000362,93,[77]
311.00000000003644,93,[]
312.00000000003666,93,[]
313.0000000000369,94,[79]
314.0000000000371,94,[]
315.00000000003735,95,[92]
316.0000000000376,95,[]
317.0000000000378,95,[]
318.000000000038,96,[90]
319.00000000003826,96,[]
320.0000000000385,96,[]
321.0000000000387,96,[]
322.00000000003894,97,[75]
323.00000000003917,97,[]
324.0000000000394,97,[]
325.0000000000396,97,[]
326.00000000003985,97,[]
327.0000000000401,97,[]
328.0000000000403,97,[]
329.00000000004053,98,[83]
330.00000000004076,98,[]
331.000000000041,98,[]
332.0000000000412,99,[84]
333.00000000004144,100,[88]
334.00000000004167,101,[89]
335.0000000000419,101,[]
336.0000000000421,101,[]
337.00000000004235,101,[]
338.0000000000426,101,[]
339.0000000000428,103,[82, 80]
340.00000000004303,104,[73]
341.00000000004326,104,[]
342.0000000000435,104,[]
343.0000000000437,104,[]
344.00000000004394,104,[]
345.00000000004417,104,[]
346.0000000000444,105,[72]
347.0000000000446,105,[]
348.00000000004485,105,[]
349.0000000000451,105,[]
350.0000000000453,106,[78]
351.00000000004553,106,[]
352.00000000004576,106,[]
353.000000000046,106,[]
354.0000000000462,106,[]
355.00000000004644,107,[71]
356.00000000004667,107,[]
357.0000000000469,107,[]
358.0000000000471,107,[]
359.00000000004735,107,[]
360.0000000000476,107,[]
361.0000000000478,108,[74]
362.00000000004803,108,[]
363.00000000004826,108,[]
364.0000000000485,109,[76]
365.0000000000487,110,[70]
366.00000000004894,110,[]
367.00000000004917,110,[]
368.0000000000494,110,[]
369.0000000000496,111,[69]
370.00000000004985,112,[63]
371.0000000000501,112,[]
372.0000000000503,112,[]
373.00000000005053,112,[]
374.00000000005076,112,[]
375.000000000051,112,[]
376.0000000000512,112,[]
377.00000000005144,112,[]
378.00000000005167,112,[]
379.0000000000519,113,[68]
380.0000000000521,113,[]
381.00000000005235,113,[]
382.0000000000526,113,[]
383.0000000000528,113,[]
384.00000000005303,113,[]
385.00000000005326,113,[]
386.0000000000535,113,[]
387.0000000000537,113,[]
388.00000000005394,113,[]
389.0000000000542,113,[]
390.0000000000544,113,[]
391.0000000000546,114,[64]
392.00000000005485,114,[]
393.0000000000551,115,[67]
394.0000000000553,115,[]
395.00000000005554,116,[61]
396.00000000005576,116,[]
397.000000000056,117,[66]
398.0000000000562,117,[]
399.00000000005645,117,[]
400.0000000000567,117,[]
401.0000000000569,117,[]
402.0000000000571,117,[]
403.00000000005736,117,[]
404.0000000000576,117,[]
405.0000000000578,117,[]
406.00000000005804,118,[60]
407.00000000005826,118,[]
408.0000000000585,119,[58]
409.0000000000587,120,[65]
410.00000000005895,120,[]
411.0000000000592,121,[62]
412.0000000000594,121,[]
413.00000000005963,121,[]
414.00000000005986,121,[]
415.0000000000601,121,[]
416.0000000000603,121,[]
417.00000000006054,121,[]
418.00000000006077,121,[]
419.000000000061,121,[]
420.0000000000612,122,[59]
421.00000000006145,123,[57]
422.0000000000617,123,[]
423.0000000000619,123,[]
424.00000000006213,124,[54]
425.00000000006236,124,[]
426.0000000000626,124,[]
427.0000000000628,124,[]
428.00000000006304,124,[]
429.00000000006327,124,[]
430.0000000000635,124,[]
431.0000000000637,126,[55, 53]
432.00000000006395,127,[56]
433.0000000000642,127,[]
434.0000000000644,127,[]
435.00000000006463,127,[]
436.00000000006486,127,[]
437.0000000000651,127,[]
438.0000000000653,127,[]
439.00000000006554,127,[]
440.00000000006577,128,[49]
441.000000000066,128,[]
442.0000000000662,129,[51]
443.00000000006645,129,[]
444.0000000000667,130,[52]
445.0000000000669,130,[]
446.00000000006713,130,[]
447.00000000006736,130,[]
448.0000000000676,130,[]
449.0000000000678,130,[]
450.00000000006804,131,[50]
451.00000000006827,131,[]
452.0000000000685,131,[]
453.0000000000687,131,[]
454.00000000006895,131,[]
455.0000000000692,132,[43]
456.0000000000694,132,[]
457.00000000006963,132,[]
458.00000000006986,132,[]
459.0000000000701,132,[]
460.0000000000703,132,[]
461.00000000007054,132,[]
462.00000000007077,132,[]
463.000000000071,132,[]
464.0000000000712,132,[]
465.00000000007145,133,[47]
466.0000000000717,134,[48]
467.0000000000719,135,[42]
468.00000000007213,135,[]
469.00000000007236,135,[]
470.0000000000726,135,[]
471.0000000000728,135,[]
472.00000000007304,136,[37]
473.00000000007327,136,[]
474.0000000000735,136,[]
475.0000000000737,136,[]
476.00000000007395,136,[]
477.0000000000742,137,[46]
478.0000000000744,137,[]
479.00000000007464,137,[]
480.00000000007486,137,[]
481.0000000000751,137,[]
482.0000000000753,138,[41]
