time,sitting
0.0,0,[]
1.0000000000000002,0,[]
2.000000000000001,0,[]
2.9999999999999973,0,[]
3.999999999999994,0,[]
4.99999999999999,0,[]
5.999999999999987,0,[]
6.999999999999983,0,[]
7.99999999999998,0,[]
8.999999999999993,0,[]
10.000000000000007,0,[]
11.000000000000021,0,[]
12.000000000000036,2,[178, 177]
13.00000000000005,2,[]
14.000000000000064,2,[]
15.000000000000078,2,[]
16.000000000000092,2,[]
17.000000000000107,2,[]
18.00000000000012,3,[176]
19.000000000000135,4,[179]
20.00000000000015,4,[]
21.000000000000163,4,[]
22.000000000000178,4,[]
23.000000000000192,4,[]
24.000000000000206,5,[172]
25.00000000000022,5,[]
26.000000000000234,5,[]
27.00000000000025,5,[]
28.000000000000263,5,[]
29.000000000000277,5,[]
30.00000000000029,5,[]
31.000000000000306,5,[]
32.00000000000032,7,[174, 175]
33.00000000000026,8,[167]
34.000000000000206,8,[]
35.00000000000015,9,[169]
36.00000000000009,9,[]
37.000000000000036,9,[]
37.99999999999998,9,[]
38.99999999999992,9,[]
39.999999999999865,10,[170]
40.99999999999981,10,[]
41.99999999999975,11,[173]
42.999999999999694,11,[]
43.99999999999964,11,[]
44.99999999999958,11,[]
45.999999999999524,12,[171]
46.99999999999947,13,[168]
47.99999999999941,13,[]
48.99999999999935,13,[]
49.9999999999993,13,[]
50.99999999999924,13,[]
51.99999999999918,13,[]
52.999999999999126,13,[]
53.99999999999907,13,[]
54.99999999999901,13,[]
55.999999999998956,13,[]
56.9999999999989,13,[]
57.99999999999884,13,[]
58.999999999998785,14,[166]
59.99999999999873,14,[]
60.99999999999867,14,[]
61.999999999998614,14,[]
62.99999999999856,16,[164, 160]
63.9999999999985,16,[]
64.99999999999845,16,[]
65.9999999999984,16,[]
66.99999999999834,16,[]
67.99999999999828,16,[]
68.99999999999822,16,[]
69.99999999999817,16,[]
70.99999999999811,16,[]
71.99999999999805,16,[]
72.999999999998,17,[162]
73.99999999999794,17,[]
74.99999999999788,19,[165, 157]
75.99999999999783,21,[158, 163]
76.99999999999777,21,[]
77.99999999999771,21,[]
78.99999999999766,21,[]
79.9999999999976,21,[]
80.99999999999754,21,[]
81.99999999999748,21,[]
82.99999999999743,21,[]
83.99999999999737,21,[]
84.99999999999731,22,[156]
85.99999999999726,23,[161]
86.9999999999972,23,[]
87.99999999999714,23,[]
88.99999999999709,24,[155]
89.99999999999703,24,[]
90.99999999999697,24,[]
91.99999999999692,24,[]
92.99999999999686,24,[]
93.9999999999968,24,[]
94.99999999999675,24,[]
95.99999999999669,24,[]
96.99999999999663,24,[]
97.99999999999658,26,[154, 159]
98.99999999999652,26,[]
99.99999999999646,26,[]
100.9999999999964,26,[]
101.99999999999635,26,[]
102.99999999999629,26,[]
103.99999999999623,26,[]
104.99999999999618,26,[]
105.99999999999612,26,[]
106.99999999999606,27,[152]
107.999999999996,28,[153]
108.99999999999595,28,[]
109.9999999999959,28,[]
110.99999999999584,28,[]
111.99999999999578,28,[]
112.99999999999572,28,[]
113.99999999999567,28,[]
114.99999999999561,28,[]
115.99999999999555,28,[]
116.9999999999955,28,[]
117.99999999999544,29,[150]
118.99999999999538,29,[]
119.99999999999532,29,[]
120.99999999999527,29,[]
121.99999999999521,29,[]
122.99999999999515,31,[146, 151]
123.9999999999951,31,[]
124.99999999999504,32,[145]
125.99999999999498,32,[]
126.99999999999493,32,[]
127.99999999999487,33,[149]
128.99999999999508,33,[]
129.9999999999953,33,[]
130.99999999999554,33,[]
131.99999999999577,33,[]
132.999999999996,33,[]
133.99999999999622,33,[]
134.99999999999645,33,[]
135.99999999999667,33,[]
136.9999999999969,34,[148]
137.99999999999713,35,[144]
138.99999999999736,35,[]
139.99999999999758,37,[136, 142]
140.9999999999978,37,[]
141.99999999999804,37,[]
142.99999999999827,38,[135]
143.9999999999985,38,[]
144.99999999999872,38,[]
145.99999999999895,38,[]
146.99999999999918,38,[]
147.9999999999994,38,[]
148.99999999999963,39,[131]
149.99999999999986,39,[]
151.00000000000009,41,[143, 147]
152.0000000000003,41,[]
153.00000000000054,41,[]
154.00000000000077,41,[]
155.000000000001,41,[]
156.00000000000122,42,[141]
157.00000000000145,42,[]
158.00000000000168,42,[]
159.0000000000019,43,[130]
160.00000000000213,43,[]
161.00000000000236,43,[]
162.0000000000026,43,[]
163.0000000000028,43,[]
164.00000000000304,43,[]
165.00000000000327,43,[]
166.0000000000035,43,[]
167.00000000000372,45,[134, 140]
168.00000000000395,45,[]
169.00000000000418,45,[]
170.0000000000044,45,[]
171.00000000000463,46,[126]
172.00000000000486,46,[]
173.0000000000051,46,[]
174.00000000000531,47,[139]
175.00000000000554,48,[128]
176.00000000000577,48,[]
177.000000000006,49,[123]
178.00000000000622,50,[133]
179.00000000000645,50,[]
180.00000000000668,50,[]
181.0000000000069,50,[]
182.00000000000713,51,[138]
183.00000000000736,51,[]
184.0000000000076,52,[124]
185.00000000000782,52,[]
186.00000000000804,52,[]
187.00000000000827,52,[]
188.0000000000085,53,[120]
189.00000000000873,53,[]
190.00000000000895,53,[]
191.00000000000918,53,[]
192.0000000000094,53,[]
193.00000000000963,54,[129]
194.00000000000986,55,[132]
195.0000000000101,56,[137]
196.00000000001032,56,[]
197.00000000001054,56,[]
198.00000000001077,58,[118, 125]
199.000000000011,59,[121]
200.00000000001123,59,[]
201.00000000001145,59,[]
202.00000000001168,59,[]
203.0000000000119,60,[127]
204.00000000001214,61,[119]
205.00000000001236,62,[114]
206.0000000000126,62,[]
207.00000000001282,62,[]
208.00000000001305,62,[]
209.00000000001327,62,[]
210.0000000000135,62,[]
211.00000000001373,62,[]
212.00000000001396,63,[122]
213.00000000001418,63,[]
214.0000000000144,64,[113]
215.00000000001464,64,[]
216.00000000001486,65,[115]
217.0000000000151,65,[]
218.00000000001532,65,[]
219.00000000001555,67,[117, 112]
220.00000000001577,67,[]
221.000000000016,67,[]
222.00000000001623,67,[]
223.00000000001646,67,[]
224.00000000001668,67,[]
225.0000000000169,67,[]
226.00000000001714,67,[]
227.00000000001737,67,[]
228.0000000000176,67,[]
229.00000000001782,67,[]
230.00000000001805,67,[]
231.00000000001828,67,[]
232.0000000000185,68,[109]
233.00000000001873,70,[111, 116]
234.00000000001896,71,[108]
235.00000000001918,71,[]
236.0000000000194,71,[]
237.00000000001964,71,[]
238.00000000001987,71,[]
239.0000000000201,72,[104]
240.00000000002032,72,[]
241.00000000002055,72,[]
242.00000000002078,72,[]
243.000000000021,72,[]
244.00000000002123,74,[106, 110]
245.00000000002146,74,[]
246.00000000002169,74,[]
247.0000000000219,74,[]
248.00000000002214,74,[]
249.00000000002237,74,[]
250.0000000000226,74,[]
251.00000000002282,74,[]
252.00000000002305,75,[103]
253.00000000002328,76,[107]
254.0000000000235,78,[105, 97]
255.00000000002373,78,[]
256.00000000002393,78,[]
257.00000000002416,78,[]
258.0000000000244,78,[]
259.0000000000246,78,[]
260.00000000002484,78,[]
261.00000000002507,79,[102]
262.0000000000253,80,[98]
263.0000000000255,81,[99]
264.00000000002575,81,[]
265.000000000026,81,[]
266.0000000000262,82,[101]
267.00000000002643,82,[]
268.00000000002666,82,[]
269.0000000000269,83,[96]
270.0000000000271,83,[]
271.00000000002734,83,[]
272.00000000002757,83,[]
273.0000000000278,83,[]
274.000000000028,83,[]
275.00000000002825,84,[100]
276.0000000000285,84,[]
277.0000000000287,84,[]
278.00000000002893,84,[]
279.00000000002916,84,[]
280.0000000000294,85,[95]
281.0000000000296,85,[]
282.00000000002984,85,[]
283.00000000003007,85,[]
284.0000000000303,85,[]
285.0000000000305,85,[]
286.00000000003075,85,[]
287.000000000031,85,[]
288.0000000000312,85,[]
289.00000000003143,85,[]
290.00000000003166,85,[]
291.0000000000319,85,[]
292.0000000000321,85,[]
293.00000000003234,85,[]
294.00000000003257,85,[]
295.0000000000328,86,[93]
296.000000000033,86,[]
297.00000000003325,87,[94]
298.0000000000335,87,[]
299.0000000000337,87,[]
300.00000000003394,87,[]
301.00000000003416,87,[]
302.0000000000344,87,[]
303.0000000000346,87,[]
304.00000000003485,88,[88]
305.0000000000351,88,[]
306.0000000000353,88,[]
307.0000000000355,89,[89]
308.00000000003575,89,[]
309.000000000036,90,[83]
310.0000000000362,90,[]
311.00000000003644,91,[92]
312.00000000003666,91,[]
313.0000000000369,92,[86]
314.0000000000371,92,[]
315.00000000003735,92,[]
316.0000000000376,93,[84]
317.0000000000378,93,[]
318.000000000038,93,[]
319.00000000003826,94,[87]
320.0000000000385,96,[81, 91]
321.0000000000387,96,[]
322.00000000003894,96,[]
323.00000000003917,96,[]
324.0000000000394,96,[]
325.0000000000396,96,[]
326.00000000003985,96,[]
327.0000000000401,96,[]
328.0000000000403,96,[]
329.00000000004053,96,[]
330.00000000004076,97,[74]
331.000000000041,98,[75]
332.0000000000412,98,[]
333.00000000004144,99,[85]
334.00000000004167,100,[90]
335.0000000000419,101,[78]
336.0000000000421,103,[73, 79]
337.00000000004235,103,[]
338.0000000000426,103,[]
339.0000000000428,103,[]
340.00000000004303,103,[]
341.00000000004326,103,[]
342.0000000000435,104,[82]
343.0000000000437,104,[]
344.00000000004394,104,[]
345.00000000004417,104,[]
346.0000000000444,106,[80, 77]
347.0000000000446,106,[]
348.00000000004485,106,[]
349.0000000000451,106,[]
350.0000000000453,107,[70]
351.00000000004553,108,[69]
352.00000000004576,108,[]
353.000000000046,108,[]
354.0000000000462,108,[]
355.00000000004644,108,[]
356.00000000004667,108,[]
357.0000000000469,109,[76]
358.0000000000471,109,[]
359.00000000004735,109,[]
360.0000000000476,109,[]
361.0000000000478,109,[]
362.00000000004803,109,[]
363.00000000004826,109,[]
364.0000000000485,109,[]
365.0000000000487,111,[66, 72]
366.00000000004894,111,[]
367.00000000004917,112,[67]
368.0000000000494,112,[]
369.0000000000496,112,[]
370.00000000004985,112,[]
371.0000000000501,112,[]
372.0000000000503,112,[]
373.00000000005053,112,[]
374.00000000005076,112,[]
375.000000000051,113,[71]
376.0000000000512,114,[64]
377.00000000005144,114,[]
378.00000000005167,114,[]
379.0000000000519,114,[]
380.0000000000521,114,[]
381.00000000005235,114,[]
382.0000000000526,114,[]
383.0000000000528,114,[]
384.00000000005303,114,[]
385.00000000005326,116,[59, 63]
386.0000000000535,116,[]
387.0000000000537,117,[68]
388.00000000005394,117,[]
389.0000000000542,117,[]
390.0000000000544,117,[]
391.0000000000546,117,[]
392.00000000005485,117,[]
393.0000000000551,117,[]
394.0000000000553,117,[]
395.00000000005554,119,[61, 62]
396.00000000005576,119,[]
397.000000000056,120,[65]
398.0000000000562,121,[57]
399.00000000005645,121,[]
400.0000000000567,121,[]
401.0000000000569,122,[52]
402.0000000000571,122,[]
403.00000000005736,122,[]
404.0000000000576,122,[]
405.0000000000578,123,[60]
406.00000000005804,123,[]
407.00000000005826,123,[]
408.0000000000585,123,[]
409.0000000000587,123,[]
410.00000000005895,123,[]
411.0000000000592,124,[54]
412.0000000000594,124,[]
413.00000000005963,124,[]
414.00000000005986,124,[]
415.0000000000601,124,[]
416.0000000000603,126,[49, 55]
417.00000000006054,126,[]
418.00000000006077,127,[58]
419.000000000061,127,[]
420.0000000000612,127,[]
421.00000000006145,127,[]
422.0000000000617,127,[]
423.0000000000619,127,[]
424.00000000006213,128,[53]
425.00000000006236,128,[]
426.0000000000626,128,[]
427.0000000000628,128,[]
428.00000000006304,128,[]
429.00000000006327,129,[56]
430.0000000000635,129,[]
431.0000000000637,130,[48]
432.00000000006395,130,[]
433.0000000000642,130,[]
434.0000000000644,130,[]
435.00000000006463,130,[]
436.00000000006486,130,[]
437.0000000000651,131,[50]
438.0000000000653,131,[]
439.00000000006554,131,[]
440.00000000006577,132,[47]
441.000000000066,132,[]
442.0000000000662,133,[51]
443.00000000006645,134,[41]
444.0000000000667,134,[]
445.0000000000669,134,[]
446.00000000006713,134,[]
447.00000000006736,134,[]
448.0000000000676,134,[]
449.0000000000678,134,[]
450.00000000006804,134,[]
451.00000000006827,134,[]
452.0000000000685,136,[44, 46]
453.0000000000687,136,[]
454.00000000006895,136,[]
455.0000000000692,136,[]
456.0000000000694,136,[]
457.00000000006963,137,[40]
458.00000000006986,137,[]
459.0000000000701,137,[]
460.0000000000703,137,[]
461.00000000007054,138,[45]
462.00000000007077,138,[]
463.000000000071,138,[]
464.0000000000712,139,[43]
465.00000000007145,139,[]
466.0000000000717,139,[]
467.0000000000719,139,[]
468.00000000007213,139,[]
469.00000000007236,140,[31]
470.0000000000726,140,[]
471.0000000000728,140,[]
472.00000000007304,142,[32, 38]
473.00000000007327,142,[]
474.0000000000735,143,[42]
475.0000000000737,143,[]
476.00000000007395,143,[]
477.0000000000742,144,[36]
478.0000000000744,144,[]
479.00000000007464,144,[]
480.00000000007486,144,[]
