time,sitting
0.0,0,[]
1.0000000000000002,0,[]
2.000000000000001,0,[]
2.9999999999999973,0,[]
3.999999999999994,0,[]
4.99999999999999,0,[]
5.999999999999987,0,[]
6.999999999999983,0,[]
7.99999999999998,0,[]
8.999999999999993,0,[]
10.000000000000007,0,[]
11.000000000000021,0,[]
12.000000000000036,0,[]
13.00000000000005,0,[]
14.000000000000064,2,[176, 166]
15.000000000000078,3,[170]
16.000000000000092,7,[179, 171, 173, 168]
17.000000000000107,10,[177, 178, 167]
18.00000000000012,11,[172]
19.000000000000135,13,[174, 175]
20.00000000000015,15,[165, 169]
21.000000000000163,15,[]
22.000000000000178,15,[]
23.000000000000192,15,[]
24.000000000000206,15,[]
25.00000000000022,15,[]
26.000000000000234,15,[]
27.00000000000025,15,[]
28.000000000000263,15,[]
29.000000000000277,15,[]
30.00000000000029,16,[162]
31.000000000000306,16,[]
32.00000000000032,17,[158]
33.00000000000026,18,[159]
34.000000000000206,21,[161, 164, 163]
35.00000000000015,22,[151]
36.00000000000009,24,[160, 152]
37.000000000000036,26,[155, 157]
37.99999999999998,27,[154]
38.99999999999992,27,[]
39.999999999999865,29,[153, 150]
40.99999999999981,29,[]
41.99999999999975,30,[156]
42.999999999999694,30,[]
43.99999999999964,30,[]
44.99999999999958,30,[]
45.999999999999524,30,[]
46.99999999999947,30,[]
47.99999999999941,30,[]
48.99999999999935,30,[]
49.9999999999993,30,[]
50.99999999999924,30,[]
51.99999999999918,30,[]
52.999999999999126,30,[]
53.99999999999907,31,[146]
54.99999999999901,33,[145, 148]
55.999999999998956,34,[149]
56.9999999999989,38,[144, 136, 141, 138]
57.99999999999884,38,[]
58.999999999998785,41,[135, 137, 143]
59.99999999999873,43,[139, 147]
60.99999999999867,45,[142, 140]
61.999999999998614,45,[]
62.99999999999856,45,[]
63.9999999999985,45,[]
64.99999999999845,45,[]
65.9999999999984,45,[]
66.99999999999834,45,[]
67.99999999999828,45,[]
68.99999999999822,45,[]
69.99999999999817,46,[128]
70.99999999999811,47,[134]
71.99999999999805,47,[]
72.999999999998,47,[]
73.99999999999794,49,[132, 126]
74.99999999999788,49,[]
75.99999999999783,51,[125, 120]
76.99999999999777,55,[133, 130, 127, 122]
77.99999999999771,58,[129, 123, 131]
78.99999999999766,58,[]
79.9999999999976,59,[121]
80.99999999999754,60,[124]
81.99999999999748,60,[]
82.99999999999743,60,[]
83.99999999999737,60,[]
84.99999999999731,60,[]
85.99999999999726,60,[]
86.9999999999972,60,[]
87.99999999999714,60,[]
88.99999999999709,60,[]
89.99999999999703,60,[]
90.99999999999697,60,[]
91.99999999999692,60,[]
92.99999999999686,60,[]
93.9999999999968,60,[]
94.99999999999675,60,[]
95.99999999999669,60,[]
96.99999999999663,60,[]
97.99999999999658,62,[117, 119]
98.99999999999652,63,[115]
99.99999999999646,64,[109]
100.9999999999964,68,[112, 118, 108, 113]
101.99999999999635,70,[116, 114]
102.99999999999629,72,[106, 110]
103.99999999999623,73,[107]
104.99999999999618,74,[105]
105.99999999999612,75,[111]
106.99999999999606,75,[]
107.999999999996,75,[]
108.99999999999595,75,[]
109.9999999999959,75,[]
110.99999999999584,75,[]
111.99999999999578,75,[]
112.99999999999572,75,[]
113.99999999999567,75,[]
114.99999999999561,75,[]
115.99999999999555,75,[]
116.9999999999955,75,[]
117.99999999999544,75,[]
118.99999999999538,75,[]
119.99999999999532,75,[]
120.99999999999527,75,[]
121.99999999999521,76,[104]
122.99999999999515,76,[]
123.9999999999951,78,[102, 99]
124.99999999999504,79,[98]
125.99999999999498,81,[103, 101]
126.99999999999493,84,[100, 94, 90]
127.99999999999487,86,[92, 97]
128.99999999999508,88,[96, 91]
129.9999999999953,89,[95]
130.99999999999554,90,[93]
131.99999999999577,90,[]
132.999999999996,90,[]
133.99999999999622,90,[]
134.99999999999645,90,[]
135.99999999999667,90,[]
136.9999999999969,90,[]
137.99999999999713,90,[]
138.99999999999736,90,[]
139.99999999999758,90,[]
140.9999999999978,90,[]
141.99999999999804,90,[]
142.99999999999827,90,[]
143.9999999999985,90,[]
144.99999999999872,90,[]
145.99999999999895,92,[88, 86]
146.99999999999918,93,[85]
147.9999999999994,97,[83, 80, 84, 81]
148.99999999999963,97,[]
149.99999999999986,101,[75, 78, 89, 76]
151.00000000000009,102,[82]
152.0000000000003,103,[79]
153.00000000000054,104,[77]
154.00000000000077,104,[]
155.000000000001,105,[87]
156.00000000000122,105,[]
157.00000000000145,105,[]
158.00000000000168,105,[]
159.0000000000019,105,[]
160.00000000000213,105,[]
161.00000000000236,105,[]
162.0000000000026,105,[]
163.0000000000028,105,[]
164.00000000000304,105,[]
165.00000000000327,105,[]
166.0000000000035,105,[]
167.00000000000372,106,[65]
168.00000000000395,107,[62]
169.00000000000418,107,[]
170.0000000000044,107,[]
171.00000000000463,110,[64, 70, 74]
172.00000000000486,112,[73, 71]
173.0000000000051,113,[69]
174.00000000000531,113,[]
175.00000000000554,115,[67, 72]
176.00000000000577,118,[63, 60, 68]
177.000000000006,119,[66]
178.00000000000622,120,[61]
179.00000000000645,120,[]
180.00000000000668,120,[]
181.0000000000069,120,[]
182.00000000000713,120,[]
183.00000000000736,120,[]
184.0000000000076,120,[]
185.00000000000782,120,[]
186.00000000000804,120,[]
187.00000000000827,120,[]
188.0000000000085,120,[]
189.00000000000873,120,[]
190.00000000000895,120,[]
191.00000000000918,120,[]
192.0000000000094,120,[]
193.00000000000963,120,[]
194.00000000000986,121,[58]
195.0000000000101,122,[54]
196.00000000001032,123,[57]
197.00000000001054,125,[56, 59]
198.00000000001077,128,[52, 53, 47]
199.000000000011,133,[49, 50, 46, 48, 55]
200.00000000001123,134,[51]
201.00000000001145,134,[]
202.00000000001168,135,[45]
203.0000000000119,135,[]
204.00000000001214,135,[]
205.00000000001236,135,[]
206.0000000000126,135,[]
207.00000000001282,135,[]
208.00000000001305,135,[]
209.00000000001327,135,[]
210.0000000000135,135,[]
211.00000000001373,135,[]
212.00000000001396,135,[]
213.00000000001418,135,[]
214.0000000000144,135,[]
215.00000000001464,135,[]
216.00000000001486,136,[44]
217.0000000000151,137,[35]
218.00000000001532,138,[40]
219.00000000001555,138,[]
220.00000000001577,141,[41, 43, 38]
221.000000000016,143,[42, 36]
222.00000000001623,144,[31]
223.00000000001646,144,[]
224.00000000001668,149,[39, 34, 30, 32, 37]
225.0000000000169,150,[33]
226.00000000001714,150,[]
227.00000000001737,150,[]
228.0000000000176,150,[]
229.00000000001782,150,[]
230.00000000001805,150,[]
231.00000000001828,150,[]
232.0000000000185,150,[]
233.00000000001873,150,[]
234.00000000001896,150,[]
235.00000000001918,150,[]
236.0000000000194,150,[]
237.00000000001964,150,[]
238.00000000001987,150,[]
239.0000000000201,150,[]
240.00000000002032,151,[26]
241.00000000002055,154,[24, 29, 20]
242.00000000002078,154,[]
243.000000000021,157,[19, 28, 18]
244.00000000002123,160,[27, 25, 22]
245.00000000002146,163,[23, 21, 15]
246.00000000002169,164,[17]
247.0000000000219,164,[]
248.00000000002214,165,[16]
249.00000000002237,165,[]
250.0000000000226,165,[]
251.00000000002282,165,[]
252.00000000002305,165,[]
253.00000000002328,165,[]
254.0000000000235,165,[]
255.00000000002373,165,[]
256.00000000002393,165,[]
257.00000000002416,165,[]
258.0000000000244,165,[]
259.0000000000246,165,[]
260.00000000002484,165,[]
261.00000000002507,165,[]
262.0000000000253,165,[]
263.0000000000255,165,[]
264.00000000002575,165,[]
265.000000000026,166,[5]
266.0000000000262,167,[13]
267.00000000002643,169,[8, 7]
268.00000000002666,174,[3, 10, 0, 11, 12]
269.0000000000269,176,[9, 14]
270.0000000000271,178,[1, 2]
271.00000000002734,178,[]
272.00000000002757,179,[4]
272.45000000002767,180,[6]
